city,country,lat,lon,month,temperature,humidity,pressure,dew_point,absolute_humidity,water_output_liters_per_day
Rio de Janeiro,BR,-22.9068,-43.1729,11,20.95,78.33,1010.37,17.03,14.3076,65.9294
Buenos Aires,AR,-34.6037,-58.3816,5,10.01,69.98,1017.36,4.79,6.578,32.8373
Bangalore,IN,12.9716,77.5946,5,25.4,71.25,909.55,19.8,16.7756,83.7439
Johannesburg,ZA,-26.2041,28.0473,9,14.69,44.63,830.32,2.76,5.6136,24.7897
Dhaka,BD,23.7104,90.4074,5,29.28,74.09,997.87,24.17,21.6242,107.9478
Casablanca,MA,33.5731,-7.5898,11,15.29,79.1,1015.81,11.69,10.3198,47.5534
Tokyo,JP,35.6762,139.6503,1,12.28,45.69,1018.57,0.9,4.9521,24.721
Karachi,PK,24.8607,67.0011,1,19.61,66.32,1019.87,13.15,11.1991,55.9057
Johannesburg,ZA,-26.2041,28.0473,6,8.01,33.78,833.38,-6.98,2.7941,13.4117
Singapore,SG,1.3521,103.8198,1,27.31,86.31,1009.69,24.82,22.6115,112.8766
Berlin,DE,52.52,13.405,5,16.99,74.51,1015.09,12.43,10.7725,53.7761
Houston,US,29.7604,-95.3698,4,21.64,70.26,1015.4,15.98,13.3537,68.5386
Jakarta,ID,-6.2088,106.8456,3,24.7,86.64,1010.65,22.31,19.6094,101.6549
Bangalore,IN,12.9716,77.5946,12,20.05,66.5,912.51,13.62,11.5272,55.3304
Buenos Aires,AR,-34.6037,-58.3816,6,8.82,81.01,1016.23,5.74,7.0599,33.8875
Delhi,IN,28.6139,77.209,7,30.5,81.02,1000.47,26.86,25.2611,116.4031
Berlin,DE,52.52,13.405,11,4.91,93.25,1012.8,3.91,6.298,29.021
Lagos,NG,6.5244,3.3792,8,29.8,88.36,1011.44,27.66,26.5248,118.4981
Melbourne,AU,-37.8136,144.9631,2,20.04,61.09,1010.65,12.3,10.5795,54.2999
Houston,US,29.7604,-95.3698,10,19.2,73.03,1013.94,14.24,12.0364,53.7722
Leh,IN,34.1526,77.577,1,-10.79,57.0,652.73,-17.63,1.268,6.33
Colombo,LK,6.9271,79.8612,6,24.94,82.34,1006.93,21.72,18.8979,90.7098
Chennai,IN,13.0827,80.2707,4,31.1,69.1,1006.9,24.75,22.2588,114.2447
Hong Kong,HK,22.3193,114.1694,4,17.63,78.22,1011.09,13.79,11.749,60.3022
Mumbai,IN,19.076,72.8777,7,28.09,86.53,1001.78,25.62,23.6605,109.0277
Rome,IT,41.9028,12.4964,9,25.2,54.12,1015.71,15.25,12.5995,55.6396
Jakarta,ID,-6.2088,106.8456,3,25.8,81.86,1002.69,22.46,19.7197,102.2272
Lahore,PK,31.5497,74.3436,12,15.66,83.47,987.72,12.86,11.1359,53.4522
Miami,US,25.7617,-80.1918,4,24.95,68.55,1016.95,18.75,15.7367,80.7696
Bangkok,TH,13.7563,100.5018,12,22.44,70.28,1014.87,16.75,13.9899,67.1515
Bangkok,TH,13.7563,100.5018,9,29.56,81.58,1007.02,26.06,24.178,106.7699
Jaipur,IN,26.9124,75.7873,8,34.78,69.15,953.15,28.27,27.0735,120.9493
Casablanca,MA,33.5731,-7.5898,4,17.95,62.8,1016.13,10.75,9.6123,49.3355
Moscow,RU,55.7558,37.6173,11,-1.47,89.67,1012.29,-2.95,3.9262,18.0921
Hong Kong,HK,22.3193,114.1694,5,30.84,87.61,1007.28,28.54,27.8363,138.9588
Casablanca,MA,33.5731,-7.5898,9,22.68,73.37,1010.03,17.66,14.8066,65.3858
Kuala Lumpur,MY,3.139,101.6869,6,32.02,88.93,1010.19,29.96,30.0988,144.4743
Kuala Lumpur,MY,3.139,101.6869,4,28.16,82.63,1008.93,24.92,22.6853,116.4338
New York,US,40.7128,-74.006,4,11.98,50.85,1011.83,2.11,5.4088,27.7609
Riyadh,SA,24.6877,46.7219,9,35.56,5.0,923.41,-9.87,2.039,9.0044
Kathmandu,NP,27.7172,85.324,10,17.8,70.35,854.25,12.33,10.6739,47.6851
Moscow,RU,55.7558,37.6173,10,6.94,77.89,1015.83,3.35,6.0107,26.8523
Colombo,LK,6.9271,79.8612,4,27.52,84.7,1012.88,24.71,22.4521,115.2367
Riyadh,SA,24.6877,46.7219,11,24.39,36.27,937.93,8.45,8.0703,37.1881
Beijing,CN,39.9042,116.4074,6,29.74,61.7,1007.13,21.58,18.4659,88.6365
Addis Ababa,ET,9.032,38.7492,6,17.59,72.84,768.67,12.66,10.9152,52.3931
Jaipur,IN,26.9124,75.7873,5,35.58,21.08,942.65,9.92,8.6064,42.9632
Los Angeles,US,34.0522,-118.2437,2,11.82,66.89,1016.28,5.86,7.0451,36.1591
Jakarta,ID,-6.2088,106.8456,1,29.71,91.79,1010.68,28.23,27.4273,136.9169
London,GB,51.5074,-0.1278,6,19.46,69.66,1012.58,13.76,11.6586,55.9614
Istanbul,TR,41.0082,28.9784,1,7.93,85.25,1014.39,5.61,7.0161,35.0246
Los Angeles,US,34.0522,-118.2437,7,24.4,67.33,1009.18,17.94,14.9881,69.0652
Kathmandu,NP,27.7172,85.324,2,8.15,72.1,857.8,3.42,6.0155,30.8748
Kuala Lumpur,MY,3.139,101.6869,4,25.36,77.87,1004.66,21.21,18.2947,93.8987
Melbourne,AU,-37.8136,144.9631,3,17.39,67.79,1012.09,11.38,10.0397,52.0457
Nairobi,KE,-1.2921,36.8219,5,18.07,75.71,839.87,13.71,11.6748,58.2804
Kathmandu,NP,27.7172,85.324,2,8.03,56.58,860.18,-0.07,4.6849,24.0455
Hong Kong,HK,22.3193,114.1694,2,22.44,87.07,1016.05,20.18,17.3307,88.9506
Beijing,CN,39.9042,116.4074,6,24.4,58.66,1007.73,15.76,13.0547,62.6626
Jakarta,ID,-6.2088,106.8456,6,25.49,70.64,1011.43,19.75,16.7192,80.252
Kolkata,IN,22.5726,88.3639,8,29.64,95.18,1002.37,28.79,28.3405,126.6099
Addis Ababa,ET,9.032,38.7492,5,16.8,76.16,771.59,12.58,10.8875,54.3503
Colombo,LK,6.9271,79.8612,12,25.84,74.17,1010.45,20.88,17.9054,85.946
Colombo,LK,6.9271,79.8612,3,34.31,74.29,1009.14,29.06,28.385,147.148
Singapore,SG,1.3521,103.8198,3,24.03,84.71,1004.36,21.29,18.466,95.7276
Kuala Lumpur,MY,3.139,101.6869,1,22.46,76.75,1004.77,18.16,15.2909,76.3321
Johannesburg,ZA,-26.2041,28.0473,1,20.96,59.83,824.01,12.85,10.9333,54.5793
Casablanca,MA,33.5731,-7.5898,5,21.15,79.22,1014.11,17.4,14.6335,73.0504
Shanghai,CN,31.2304,121.4737,4,18.75,72.11,1014.96,13.62,11.5755,59.4119
Addis Ababa,ET,9.032,38.7492,7,9.9,94.99,767.63,9.14,8.8685,40.8661
Istanbul,TR,41.0082,28.9784,11,6.29,79.07,1014.22,2.93,5.8504,26.9586
Anchorage,US,61.2181,-149.9003,1,-9.71,73.71,1010.49,-13.51,1.7789,8.8803
Bangalore,IN,12.9716,77.5946,3,27.05,50.57,911.84,15.9,13.0601,67.7035
Miami,US,25.7617,-80.1918,3,24.5,62.04,1011.98,16.74,13.8879,71.9948
Mumbai,IN,19.076,72.8777,12,31.07,68.63,1012.8,24.6,22.0676,105.9246
Karachi,PK,24.8607,67.0011,10,26.05,72.43,1009.26,20.7,17.6894,79.0264
Delhi,IN,28.6139,77.209,5,39.96,37.92,1001.58,22.87,19.3691,96.6904
Bangalore,IN,12.9716,77.5946,12,14.29,60.92,916.34,6.85,7.4783,35.8956
London,GB,51.5074,-0.1278,4,10.07,73.23,1011.52,5.5,6.9108,35.4698
Johannesburg,ZA,-26.2041,28.0473,7,9.1,35.38,837.65,-5.41,3.1384,14.4618
London,GB,51.5074,-0.1278,5,11.03,64.27,1013.25,4.54,6.4429,32.1628
Dhaka,BD,23.7104,90.4074,12,19.85,68.29,1020.92,13.83,11.6948,56.135
Johannesburg,ZA,-26.2041,28.0473,3,16.99,58.77,826.2,8.86,8.4943,44.0344
Berlin,DE,52.52,13.405,2,2.97,80.52,1012.47,-0.05,4.7792,24.5295
Chennai,IN,13.0827,80.2707,12,24.93,71.14,1010.71,19.33,16.3176,78.3243
Kathmandu,NP,27.7172,85.324,6,26.13,73.86,854.88,21.09,18.1199,86.9754
Cairo,EG,30.0444,31.2357,8,35.65,33.73,1003.52,17.2,13.8159,61.7218
Bangkok,TH,13.7563,100.5018,3,28.38,58.88,1013.42,19.55,16.3632,84.8269
New York,US,40.7128,-74.006,3,10.72,62.28,1018.04,3.8,6.1221,31.7369
Rio de Janeiro,BR,-22.9068,-43.1729,3,26.07,85.66,1008.5,23.47,20.9416,108.5614
Kolkata,IN,22.5726,88.3639,1,18.94,74.75,1018.16,14.36,12.1369,60.5872
London,GB,51.5074,-0.1278,8,14.59,62.11,1015.45,7.42,7.7646,34.6881
Buenos Aires,AR,-34.6037,-58.3816,3,21.77,59.69,1012.32,13.58,11.4335,59.2712
Hong Kong,HK,22.3193,114.1694,5,28.29,84.57,1007.31,25.44,23.3878,116.752
Sydney,AU,-33.8688,151.2093,3,22.76,73.23,1012.74,17.71,14.8485,76.9744
Cairo,EG,30.0444,31.2357,7,36.79,35.71,1006.43,19.11,15.5193,71.5128
Istanbul,TR,41.0082,28.9784,5,18.95,70.59,1015.15,13.48,11.4645,57.2309
Lahore,PK,31.5497,74.3436,3,22.38,63.26,980.81,15.05,12.551,65.0643
Melbourne,AU,-37.8136,144.9631,9,11.83,65.79,1017.98,5.63,6.9333,30.6176
Delhi,IN,28.6139,77.209,3,20.48,56.74,1009.6,11.59,10.0811,52.2603
Johannesburg,ZA,-26.2041,28.0473,8,15.02,42.21,828.34,2.28,5.417,24.2002
Miami,US,25.7617,-80.1918,10,24.91,82.86,1016.54,21.79,18.9852,84.8152
Paris,FR,48.8566,2.3522,2,7.79,87.46,1017.11,5.84,7.1323,36.6068
Melbourne,AU,-37.8136,144.9631,8,8.5,78.59,1015.12,4.99,6.7063,29.96
Colombo,LK,6.9271,79.8612,1,28.51,77.17,1007.31,24.11,21.5971,107.8128
Lagos,NG,6.5244,3.3792,9,26.97,82.07,1011.57,23.64,21.093,93.1467
Kuala Lumpur,MY,3.139,101.6869,12,29.12,75.08,1011.53,24.24,21.7202,104.2572
Dhaka,BD,23.7104,90.4074,10,25.86,85.92,1005.95,23.32,20.7608,92.7479
Hyderabad,IN,17.385,78.4867,7,27.65,84.34,940.34,24.76,22.5097,103.7249
Bangalore,IN,12.9716,77.5946,4,28.41,53.74,913.18,18.11,14.9552,76.7583
Addis Ababa,ET,9.032,38.7492,8,10.42,84.94,771.33,8.0,8.1934,36.6037
New York,US,40.7128,-74.006,3,8.59,61.16,1011.67,1.53,5.2502,27.2169
Beijing,CN,39.9042,116.4074,9,22.69,66.85,1010.92,16.21,13.5,59.6162
Mumbai,IN,19.076,72.8777,3,28.34,86.86,1010.03,25.93,24.0822,124.8421
Kolkata,IN,22.5726,88.3639,10,26.5,80.83,1009.38,22.93,20.2447,90.442
Cairo,EG,30.0444,31.2357,8,31.3,35.32,1006.32,14.13,11.502,51.3845
Cairo,EG,30.0444,31.2357,4,20.98,36.51,1006.34,5.54,6.681,34.2906
Delhi,IN,28.6139,77.209,4,29.22,46.75,1009.9,16.64,13.5971,69.7879
Melbourne,AU,-37.8136,144.9631,3,16.6,65.52,1011.1,10.11,9.2518,47.9612
Tokyo,JP,35.6762,139.6503,6,23.32,78.19,1009.15,19.29,16.3635,78.5446
Dubai,AE,25.2048,55.2708,4,26.06,48.76,1012.29,14.42,11.9127,61.1426
Rome,IT,41.9028,12.4964,10,17.04,79.95,1014.43,13.55,11.5921,51.7872
Rome,IT,41.9028,12.4964,2,8.29,65.43,1016.16,2.19,5.5106,28.2832
Leh,IN,34.1526,77.577,6,23.1,23.12,646.09,0.9,4.7799,22.9433
Beijing,CN,39.9042,116.4074,12,0.87,43.93,1015.96,-10.01,2.262,10.8575
Miami,US,25.7617,-80.1918,4,24.43,70.03,1012.54,18.6,15.6112,80.1253
Mexico City,MX,19.4326,-99.1332,7,15.28,73.61,775.1,10.59,9.5955,44.2159
Dhaka,BD,23.7104,90.4074,2,21.11,72.96,1013.33,16.06,13.4447,69.0057
Melbourne,AU,-37.8136,144.9631,11,17.94,57.64,1013.75,9.46,8.8189,40.6375
New York,US,40.7128,-74.006,7,24.43,75.63,1012.27,19.83,16.8583,77.6828
Bangalore,IN,12.9716,77.5946,2,20.51,52.98,909.27,10.59,9.4293,48.3965
Kuala Lumpur,MY,3.139,101.6869,1,27.78,83.63,1010.81,24.74,22.4797,112.2184
São Paulo,BR,-23.5505,-46.6333,3,21.18,80.38,924.21,17.66,14.8769,77.122
Dubai,AE,25.2048,55.2708,4,33.56,63.65,1012.28,25.7,23.3773,119.9854
Anchorage,US,61.2181,-149.9003,10,4.42,67.48,1004.06,-1.07,4.4123,19.7117
Houston,US,29.7604,-95.3698,8,35.66,75.72,1013.67,30.69,31.041,138.6742
Kolkata,IN,22.5726,88.3639,4,28.99,52.79,1006.06,18.37,15.1703,77.8623
Riyadh,SA,24.6877,46.7219,11,22.07,24.25,938.61,0.69,4.7236,21.7665
Rome,IT,41.9028,12.4964,12,7.67,79.3,1014.22,4.32,6.4188,30.8104
London,GB,51.5074,-0.1278,4,10.37,65.39,1014.04,4.16,6.2888,32.2776
Mexico City,MX,19.4326,-99.1332,11,13.07,59.95,782.51,5.47,6.8247,31.4481
Hong Kong,HK,22.3193,114.1694,8,31.97,73.82,1005.19,26.69,24.9097,111.283
Tokyo,JP,35.6762,139.6503,1,7.93,49.48,1023.1,-1.99,4.0723,20.3292
Los Angeles,US,34.0522,-118.2437,10,25.69,57.31,1011.83,16.6,13.7142,61.2674
Casablanca,MA,33.5731,-7.5898,1,13.63,79.18,1016.5,10.09,9.3339,46.595
Kuala Lumpur,MY,3.139,101.6869,5,29.41,84.87,1009.53,26.59,24.9434,124.5173
Nairobi,KE,-1.2921,36.8219,7,15.98,73.9,836.88,11.32,10.0506,46.3133
Riyadh,SA,24.6877,46.7219,3,22.71,26.84,938.06,2.66,5.4276,28.1367
Bangkok,TH,13.7563,100.5018,5,32.46,76.75,1003.82,27.83,26.5835,132.7051
New York,US,40.7128,-74.006,1,3.16,62.58,1013.45,-3.28,3.763,18.7849
Bangkok,TH,13.7563,100.5018,12,24.04,63.84,1018.23,16.76,13.9275,66.8519
Rio de Janeiro,BR,-22.9068,-43.1729,4,23.37,83.01,1016.44,20.31,17.4222,89.4202
Riyadh,SA,24.6877,46.7219,10,31.03,12.27,932.1,-1.42,3.9392,17.598
Delhi,IN,28.6139,77.209,5,30.49,30.31,1001.71,11.09,9.4489,47.1689
Lahore,PK,31.5497,74.3436,6,33.39,41.69,966.97,18.59,15.1755,72.8424
Johannesburg,ZA,-26.2041,28.0473,5,12.82,37.54,830.11,-1.32,4.2074,21.0031
Chennai,IN,13.0827,80.2707,1,26.84,83.2,1011.26,23.74,21.2299,105.9794
Shanghai,CN,31.2304,121.4737,1,2.59,84.98,1012.15,0.32,4.9162,24.5415
Kolkata,IN,22.5726,88.3639,9,31.83,75.68,1001.31,26.99,25.3481,111.937
Miami,US,25.7617,-80.1918,11,25.67,77.89,1019.87,21.52,18.6245,85.8217
Singapore,SG,1.3521,103.8198,12,25.3,83.5,1008.37,22.29,19.5497,93.8385
Karachi,PK,24.8607,67.0011,9,33.83,71.39,1011.48,27.91,26.5922,117.4311
Bangkok,TH,13.7563,100.5018,3,29.53,56.1,1009.04,19.84,16.6042,86.0761
Moscow,RU,55.7558,37.6173,4,7.69,80.02,1015.08,4.47,6.484,33.2795
Hyderabad,IN,17.385,78.4867,3,35.22,45.75,947.39,21.73,18.3281,95.0127
Leh,IN,34.1526,77.577,9,19.76,36.94,647.69,4.62,6.2918,27.7846
Istanbul,TR,41.0082,28.9784,7,29.53,71.09,1011.36,23.72,21.0314,96.9125
Dhaka,BD,23.7104,90.4074,11,24.09,65.66,1013.46,17.25,14.364,66.1895
Lagos,NG,6.5244,3.3792,9,27.63,81.89,1008.09,24.24,21.831,96.4057
Lagos,NG,6.5244,3.3792,4,32.77,90.24,1007.49,30.95,31.7825,163.1255
Istanbul,TR,41.0082,28.9784,11,13.5,87.73,1016.31,11.51,10.2582,47.2696
London,GB,51.5074,-0.1278,8,22.36,69.5,1013.13,16.5,13.7684,61.5096
Rio de Janeiro,BR,-22.9068,-43.1729,5,25.0,72.58,1013.29,19.72,16.7112,83.4224
Anchorage,US,61.2181,-149.9003,10,2.66,76.98,1006.87,-0.97,4.4744,19.9892
Beijing,CN,39.9042,116.4074,12,-4.69,44.82,1014.15,-14.84,1.5634,7.5043
São Paulo,BR,-23.5505,-46.6333,7,14.33,75.76,935.12,10.11,9.3227,42.9592
Rio de Janeiro,BR,-22.9068,-43.1729,4,15.62,84.2,1011.88,12.96,11.2081,57.5263
Rio de Janeiro,BR,-22.9068,-43.1729,1,23.98,72.39,1012.7,18.7,15.7368,78.5581
Lahore,PK,31.5497,74.3436,2,19.61,67.82,981.8,13.5,11.4557,58.7969
Berlin,DE,52.52,13.405,6,18.92,69.12,1013.01,13.13,11.2052,53.7848
Nairobi,KE,-1.2921,36.8219,8,19.37,81.27,836.07,16.08,13.5353,60.4681
Chennai,IN,13.0827,80.2707,8,32.26,69.93,998.73,26.05,23.9634,107.0553
Kolkata,IN,22.5726,88.3639,3,26.51,55.85,1010.19,16.96,13.9935,72.5423
Dhaka,BD,23.7104,90.4074,1,20.26,82.69,1016.45,17.21,14.5049,72.4082
Karachi,PK,24.8607,67.0011,11,24.93,63.33,1011.83,17.48,14.527,66.9405
Delhi,IN,28.6139,77.209,2,14.7,71.25,1015.55,9.54,8.965,46.0132
Dubai,AE,25.2048,55.2708,1,19.4,66.76,1020.18,13.05,11.1338,55.58
Dubai,AE,25.2048,55.2708,5,35.25,63.97,1006.12,27.37,25.6622,128.1055
Cairo,EG,30.0444,31.2357,3,18.79,50.6,1017.32,8.32,8.1411,42.2037
Hyderabad,IN,17.385,78.4867,11,14.01,55.44,956.99,5.22,6.6876,30.8165
Dhaka,BD,23.7104,90.4074,6,28.85,83.59,995.52,25.78,23.8314,114.3908
Houston,US,29.7604,-95.3698,3,18.73,69.11,1021.11,12.94,11.0807,57.4423
Delhi,IN,28.6139,77.209,7,33.28,87.45,996.92,30.9,31.6437,145.8143
Chicago,US,41.8781,-87.6298,8,16.11,60.27,1013.47,8.4,8.2604,36.903
Mumbai,IN,19.076,72.8777,2,22.77,68.17,1017.44,16.59,13.8272,70.9688
Tokyo,JP,35.6762,139.6503,6,21.82,66.39,1006.97,15.27,12.7507,61.2031
Casablanca,MA,33.5731,-7.5898,3,15.11,85.15,1015.69,12.63,10.9849,56.9458
Dhaka,BD,23.7104,90.4074,7,30.42,89.69,1001.88,28.53,27.8486,128.3263
Casablanca,MA,33.5731,-7.5898,2,10.25,76.11,1011.36,6.22,7.2613,37.2691
Beijing,CN,39.9042,116.4074,1,-4.77,45.59,1017.55,-14.71,1.5807,7.891
Dhaka,BD,23.7104,90.4074,2,20.65,72.7,1008.33,15.57,13.0448,66.9532
Hong Kong,HK,22.3193,114.1694,5,30.79,72.75,1009.61,25.32,23.0445,115.038
Bangalore,IN,12.9716,77.5946,3,26.43,69.3,909.51,20.34,17.2906,89.6344
Anchorage,US,61.2181,-149.9003,5,9.68,67.05,1012.06,3.86,6.1697,30.7994
Kuala Lumpur,MY,3.139,101.6869,11,23.84,84.03,1011.23,20.97,18.1172,83.4842
Rome,IT,41.9028,12.4964,6,24.2,56.26,1006.61,14.93,12.3843,59.4447
Chicago,US,41.8781,-87.6298,12,2.48,71.19,1012.46,-2.2,4.0879,19.622
Kathmandu,NP,27.7172,85.324,10,19.19,71.19,859.02,13.84,11.7274,52.3913
Lahore,PK,31.5497,74.3436,9,30.37,64.85,977.05,23.0,20.0869,88.7036
Bangkok,TH,13.7563,100.5018,7,33.48,77.78,1004.71,29.06,28.4475,131.0861
Johannesburg,ZA,-26.2041,28.0473,10,19.75,58.65,830.26,11.41,9.9866,44.6148
Colombo,LK,6.9271,79.8612,2,26.74,67.85,1007.0,20.3,17.2256,88.4113
Karachi,PK,24.8607,67.0011,8,30.65,71.63,1006.73,24.92,22.5227,100.619
Los Angeles,US,34.0522,-118.2437,3,17.53,64.41,1013.3,10.74,9.6185,49.8622
Hyderabad,IN,17.385,78.4867,7,28.43,83.1,942.76,25.27,23.1488,106.6696
Bangkok,TH,13.7563,100.5018,6,28.37,85.47,1004.18,25.69,23.7315,113.9111
Kolkata,IN,22.5726,88.3639,4,28.42,61.88,1001.19,20.39,17.235,88.4596
Nairobi,KE,-1.2921,36.8219,12,17.33,68.49,835.23,11.47,10.1037,48.4977
Colombo,LK,6.9271,79.8612,3,29.67,83.01,1011.12,26.46,24.7471,128.2889
Addis Ababa,ET,9.032,38.7492,3,17.49,57.93,773.47,9.11,8.6288,44.7317
Mexico City,MX,19.4326,-99.1332,7,14.67,70.81,771.26,9.42,8.8945,40.986
Hong Kong,HK,22.3193,114.1694,7,27.41,97.11,1001.52,26.91,25.585,117.8957
Kathmandu,NP,27.7172,85.324,12,9.63,67.41,856.63,3.89,6.1838,29.6822
Los Angeles,US,34.0522,-118.2437,6,19.1,59.32,1007.1,10.97,9.7186,46.6491
Jakarta,ID,-6.2088,106.8456,11,23.71,78.62,1005.16,19.77,16.8304,77.5543
Hyderabad,IN,17.385,78.4867,4,30.85,26.5,945.39,9.38,8.4217,43.225
Hong Kong,HK,22.3193,114.1694,10,29.78,67.1,1011.29,23.0,20.1238,89.9019
Lagos,NG,6.5244,3.3792,4,31.37,72.01,1005.81,25.7,23.5359,120.7994
Dhaka,BD,23.7104,90.4074,10,25.55,82.51,1008.96,22.35,19.5964,87.5456
Chennai,IN,13.0827,80.2707,6,36.7,72.7,1001.65,30.98,31.4539,150.9786
Rome,IT,41.9028,12.4964,7,29.89,40.62,1010.26,15.05,12.2589,56.4888
Dubai,AE,25.2048,55.2708,4,31.57,37.41,1011.12,15.25,12.3552,63.4136
Hong Kong,HK,22.3193,114.1694,6,29.18,82.79,1006.97,25.94,24.0359,115.3722
Lagos,NG,6.5244,3.3792,10,31.02,84.03,1010.77,27.99,26.9505,120.3997
Hyderabad,IN,17.385,78.4867,2,22.7,56.05,951.47,13.47,11.323,58.1161
New York,US,40.7128,-74.006,6,23.99,67.47,1015.58,17.59,14.6724,70.4275
Lagos,NG,6.5244,3.3792,3,27.88,83.07,1007.67,24.73,22.4527,116.3949
Mexico City,MX,19.4326,-99.1332,2,13.62,38.96,779.3,-0.1,4.588,23.548
Chicago,US,41.8781,-87.6298,7,21.37,59.97,1011.53,13.28,11.2263,51.7306
Nairobi,KE,-1.2921,36.8219,2,18.5,65.4,836.25,11.89,10.3459,53.1008
Sydney,AU,-33.8688,151.2093,1,23.88,65.88,1015.59,17.1,14.2361,71.0665
Melbourne,AU,-37.8136,144.9631,11,16.8,67.02,1015.95,10.64,9.579,44.1401
Moscow,RU,55.7558,37.6173,12,-2.83,85.55,1014.76,-4.91,3.4046,16.3422
Dhaka,BD,23.7104,90.4074,3,26.46,58.39,1008.34,17.62,14.5907,75.6383
Singapore,SG,1.3521,103.8198,9,27.26,81.8,1009.14,23.87,21.3662,94.353
Sydney,AU,-33.8688,151.2093,9,13.14,47.9,1017.38,2.34,5.4775,24.1886
Jaipur,IN,26.9124,75.7873,1,16.21,61.71,966.93,8.85,8.5114,42.4887
Lahore,PK,31.5497,74.3436,6,34.77,38.48,966.8,18.53,15.0589,72.2825
Johannesburg,ZA,-26.2041,28.0473,5,14.74,46.19,832.1,3.29,5.8276,29.0916
Moscow,RU,55.7558,37.6173,10,8.05,76.27,1009.06,4.12,6.3225,28.2455
Casablanca,MA,33.5731,-7.5898,5,20.04,79.48,1010.48,16.38,13.7655,68.7175
Kuala Lumpur,MY,3.139,101.6869,9,27.24,86.64,1011.43,24.81,22.6129,99.8588
Bangalore,IN,12.9716,77.5946,2,21.31,48.2,909.58,9.91,8.9872,46.1272
Beijing,CN,39.9042,116.4074,7,29.58,83.4,999.89,26.46,24.7487,114.0421
Mexico City,MX,19.4326,-99.1332,4,18.07,45.86,775.95,6.22,7.071,36.2921
New York,US,40.7128,-74.006,2,2.74,60.15,1015.41,-4.21,3.5166,18.0494
Tokyo,JP,35.6762,139.6503,4,14.33,65.17,1013.28,7.88,8.0188,41.157
Lahore,PK,31.5497,74.3436,5,35.56,29.94,966.97,15.25,12.2066,60.9356
Hong Kong,HK,22.3193,114.1694,4,28.33,79.92,1009.47,24.52,22.143,113.6501
Hyderabad,IN,17.385,78.4867,11,19.09,56.55,956.12,10.25,9.2606,42.6726
Cairo,EG,30.0444,31.2357,3,19.29,52.45,1015.35,9.31,8.6902,45.0502
Bangkok,TH,13.7563,100.5018,9,26.98,83.45,1007.09,23.93,21.4608,94.771
Delhi,IN,28.6139,77.209,11,13.0,71.08,1014.26,7.88,8.0597,37.1391
